172.66.152.175,4,4,0.00,1.62,0.00,N/A,US
104.24.227.181,4,4,0.00,1.62,0.00,N/A,US
104.25.131.23,4,4,0.00,1.62,0.00,N/A,US
104.25.231.8,4,4,0.00,1.62,0.00,N/A,US
172.66.148.223,4,4,0.00,1.62,0.00,N/A,US
172.65.16.231,4,4,0.00,1.62,0.00,N/A,US
172.67.216.251,4,4,0.00,1.62,0.00,N/A,US
104.24.235.82,4,4,0.00,1.62,0.00,N/A,US
104.27.40.52,4,4,0.00,1.62,0.00,N/A,US
172.65.4.36,4,4,0.00,1.62,0.00,N/A,US
172.67.142.148,4,4,0.00,1.63,0.00,N/A,US
104.24.137.173,4,4,0.00,1.63,0.00,N/A,US
172.67.84.49,4,4,0.00,1.63,0.00,N/A,US
172.66.154.215,4,4,0.00,1.63,0.00,N/A,US
104.25.235.167,4,4,0.00,1.63,0.00,N/A,US
172.65.1.84,4,4,0.00,1.63,0.00,N/A,US
104.25.249.81,4,4,0.00,1.63,0.00,N/A,US
104.25.246.41,4,4,0.00,1.63,0.00,N/A,US
172.67.124.194,4,4,0.00,1.63,0.00,N/A,US
104.24.248.132,4,4,0.00,1.63,0.00,N/A,US
104.24.224.84,4,4,0.00,1.64,0.00,N/A,US
104.24.84.177,4,4,0.00,1.64,0.00,N/A,US
172.67.82.116,4,4,0.00,1.64,0.00,N/A,US
104.24.31.27,4,4,0.00,1.64,0.00,N/A,US
172.65.137.139,4,4,0.00,3.40,0.00,N/A,US
172.67.169.186,4,4,0.00,1.64,0.00,N/A,US
172.67.120.45,4,4,0.00,1.64,0.00,N/A,US
104.25.80.109,4,4,0.00,1.64,0.00,N/A,US
172.66.158.3,4,4,0.00,1.64,0.00,N/A,US
104.25.239.233,4,4,0.00,1.64,0.00,N/A,US
104.27.103.58,4,4,0.00,1.64,0.00,N/A,US
104.24.171.161,4,4,0.00,1.64,0.00,N/A,US
172.66.145.188,4,4,0.00,1.64,0.00,N/A,US
104.27.125.179,4,4,0.00,1.64,0.00,N/A,US
172.64.98.211,4,4,0.00,1.65,0.00,N/A,US
104.25.129.196,4,4,0.00,1.65,0.00,N/A,US
104.24.162.13,4,4,0.00,1.65,0.00,N/A,US
104.27.89.243,4,4,0.00,1.65,0.00,N/A,US
104.25.203.161,4,4,0.00,1.65,0.00,N/A,US
104.25.243.25,4,4,0.00,1.65,0.00,N/A,US
172.67.208.196,4,4,0.00,1.65,0.00,N/A,US
104.27.70.84,4,4,0.00,1.65,0.00,N/A,US
104.25.229.236,4,4,0.00,1.65,0.00,N/A,US
104.24.210.154,4,4,0.00,1.65,0.00,N/A,US
104.27.76.74,4,4,0.00,1.65,0.00,N/A,US
104.25.208.8,4,4,0.00,1.66,0.00,N/A,US
172.67.129.207,4,4,0.00,1.66,0.00,N/A,US
104.25.112.103,4,4,0.00,1.66,0.00,N/A,US
104.24.165.5,4,4,0.00,1.66,0.00,N/A,US
104.27.71.203,4,4,0.00,1.66,0.00,N/A,US
104.27.92.222,4,4,0.00,1.66,0.00,N/A,US
104.25.174.145,4,4,0.00,1.66,0.00,N/A,US
104.25.214.141,4,4,0.00,1.66,0.00,N/A,US
104.24.253.133,4,4,0.00,1.66,0.00,N/A,US
172.66.147.36,4,4,0.00,1.66,0.00,N/A,US
104.24.89.148,4,4,0.00,1.66,0.00,N/A,US
104.24.158.183,4,4,0.00,1.66,0.00,N/A,US
172.65.6.162,4,4,0.00,1.66,0.00,N/A,US
104.26.1.174,4,4,0.00,1.66,0.00,N/A,US
104.24.230.41,4,4,0.00,1.66,0.00,N/A,US
104.24.251.238,4,4,0.00,1.66,0.00,N/A,US
104.24.53.17,4,4,0.00,1.66,0.00,N/A,US
172.65.23.109,4,4,0.00,1.66,0.00,N/A,US
172.67.182.187,4,4,0.00,1.66,0.00,N/A,US
104.24.252.183,4,4,0.00,1.66,0.00,N/A,US
172.66.161.160,4,4,0.00,1.66,0.00,N/A,US
172.66.164.164,4,4,0.00,1.66,0.00,N/A,US
172.67.247.179,4,4,0.00,1.66,0.00,N/A,US
104.27.59.159,4,4,0.00,1.66,0.00,N/A,US
172.67.177.30,4,4,0.00,1.66,0.00,N/A,US
104.24.213.191,4,4,0.00,1.67,0.00,N/A,US
104.25.127.216,4,4,0.00,1.67,0.00,N/A,US
104.25.22.237,4,4,0.00,1.67,0.00,N/A,US
104.25.139.70,4,4,0.00,1.67,0.00,N/A,US
104.24.244.225,4,4,0.00,1.67,0.00,N/A,US
104.25.251.250,4,4,0.00,1.67,0.00,N/A,US
172.67.222.248,4,4,0.00,1.67,0.00,N/A,US
104.25.30.8,4,4,0.00,1.67,0.00,N/A,US
172.65.15.49,4,4,0.00,1.67,0.00,N/A,US
104.25.238.80,4,4,0.00,1.67,0.00,N/A,US
104.24.63.51,4,4,0.00,1.67,0.00,N/A,US
104.25.75.108,4,4,0.00,1.67,0.00,N/A,US
104.24.43.199,4,4,0.00,1.67,0.00,N/A,US
104.25.119.35,4,4,0.00,1.67,0.00,N/A,US
104.26.5.26,4,4,0.00,1.67,0.00,N/A,US
104.24.217.193,4,4,0.00,1.67,0.00,N/A,US
172.64.230.62,4,4,0.00,1.67,0.00,N/A,US
104.25.150.235,4,4,0.00,1.67,0.00,N/A,US
172.66.163.171,4,4,0.00,1.67,0.00,N/A,US
104.24.239.68,4,4,0.00,1.67,0.00,N/A,US
104.27.32.99,4,4,0.00,1.67,0.00,N/A,US
104.27.198.47,4,4,0.00,1.67,0.00,N/A,US
172.66.160.200,4,4,0.00,1.67,0.00,N/A,US
104.25.116.218,4,4,0.00,1.67,0.00,N/A,US
